Date,London futures (£ sterling/tonne),New York futures (US$/tonne),ICCO daily price (US$/tonne),ICCO daily price (Euro/tonne),Days,MA_7,MA_30,MA_90,Price_Diff,Volatility_7,Volatility_30,Volatility_90
1994-10-03,997.83,1363.33,1466.24,1466.0,1,,,,,,,
1994-10-04,995.5,1358.33,1462.28,1462.0,2,,,,-2.330000000000041,,,
1994-10-05,969.83,1326.0,1430.57,1431.0,3,,,,-25.66999999999996,,,
1994-10-06,971.83,1322.33,1430.32,1430.0,4,,,,2.0,,,
1994-10-07,961.33,1307.67,1416.46,1416.0,5,,,,-10.5,,,
1994-10-10,961.83,1308.0,1413.73,1414.0,6,,,,0.5,,,
1994-10-11,965.83,1304.67,1413.94,1414.0,7,974.8542857142858,,,4.0,15.397482323573598,,
1994-10-12,962.33,1305.0,1411.61,1412.0,8,969.7828571428572,,,-3.5,12.051509883669777,,
1994-10-13,964.5,1302.0,1412.38,1412.0,9,965.3542857142858,,,2.169999999999959,4.096436895412399,,
1994-10-14,960.0,1306.67,1415.5,1416.0,10,963.95,,,-4.5,3.989924811321733,,
1994-10-17,965.5,1336.67,1442.79,1443.0,11,963.0457142857143,,,5.5,2.239827799503651,,
1994-10-18,963.5,1332.0,1441.52,1442.0,12,963.3557142857143,,,-2.0,2.1091456180396917,,
1994-10-19,964.83,1342.67,1449.5,1449.0,13,963.7842857142857,,,1.330000000000041,2.05146173205743,,
1994-10-20,975.83,1366.33,1471.91,1472.0,14,965.2128571428572,,,11.0,5.031228194274037,,
1994-10-21,972.5,1365.33,1471.46,1471.0,15,966.6657142857142,,,-3.330000000000041,5.505990244400123,,
1994-10-24,962.5,1355.67,1459.74,1460.0,16,966.38,,,-10.0,5.686050181511549,,
1994-10-25,962.33,1352.67,1460.88,1461.0,17,966.7128571428572,,,-0.16999999999995907,5.305807240768475,,
1994-10-26,972.83,1369.0,1476.99,1477.0,18,967.76,,,10.5,5.7326898863739055,,
1994-10-27,980.67,1391.33,1497.14,1497.0,19,970.2128571428572,,,7.839999999999918,7.113219417126773,,
1994-10-28,979.83,1376.0,1480.12,1480.0,20,972.3557142857143,,,-0.8399999999999181,7.4717107749671285,,
1994-10-31,976.17,1374.67,1482.1,1482.0,21,972.4042857142857,,,-3.660000000000082,7.499115185902033,,
1994-11-01,965.33,1356.0,1464.6,1465.0,22,971.38,,,-10.839999999999918,7.95940324396233,,
1994-11-02,962.83,1354.67,1461.92,1462.0,23,971.4271428571428,,,-2.5,7.898788333843047,,
1994-11-03,966.83,1351.33,1454.23,1454.0,24,972.07,,,4.0,7.185958530356114,,
1994-11-04,966.83,1343.33,1449.19,1449.0,25,971.2128571428573,,,0.0,7.433764668245487,,
1994-11-07,951.17,1319.33,1426.5,1426.0,26,966.9985714285715,,,-15.660000000000082,9.305216151118985,,
1994-11-08,953.17,1325.33,1432.68,1433.0,27,963.1899999999999,,,2.0,8.607841386394773,,
1994-11-09,958.17,1322.67,1428.59,1429.0,28,960.6185714285714,,,5.0,6.51925207512679,,
1994-11-10,956.67,1318.0,1422.76,1423.0,29,959.3814285714286,,,-1.5,6.293963850577638,,
1994-11-11,963.0,1324.0,1430.43,1430.0,30,959.4057142857143,967.7099999999999,,6.330000000000041,6.3097962385029245,10.534136299963441,
1994-11-14,960.67,1308.0,1414.25,1414.0,31,958.5257142857142,966.4713333333333,,-2.330000000000041,5.476293932769869,8.933453490356813,
1994-11-15,990.17,1359.33,1462.12,1462.0,32,961.8599999999999,966.2936666666666,,29.5,13.130855519221239,8.371560017490005,
1994-11-16,986.33,1343.67,1445.71,1446.0,33,966.882857142857,966.8436666666668,,-3.839999999999918,14.957814807301242,9.120423267300334,
1994-11-17,984.83,1345.33,1448.57,1449.0,34,971.4057142857143,967.2769999999999,,-1.5,14.906828253234336,9.65846569881434,
1994-11-18,995.83,1349.0,1455.18,1455.0,35,976.7857142857143,968.427,,11.0,16.08328309886054,10.900055093185705,
1994-11-21,1002.67,1365.67,1467.82,1468.0,36,983.3571428571429,969.7883333333333,,6.839999999999918,15.890775850878228,12.483079053009277,
1994-11-22,997.17,1363.33,1463.94,1464.0,37,988.2385714285714,970.8330000000001,,-5.5,13.691139992188804,13.416842259149405,
1994-11-23,996.5,1359.33,1461.79,1462.0,38,993.3571428571429,971.972,,-0.6699999999999591,6.448650283290919,14.10296163564776,
1994-11-24,991.83,1347.33,1447.74,1448.0,39,993.5942857142857,972.8829999999999,,-4.669999999999959,6.341545177485753,14.481288795283888,
1994-11-25,991.5,1347.33,1447.73,1448.0,40,994.3328571428572,973.9329999999999,,-0.3300000000000409,5.613806534742852,14.655903870995564,
1994-11-28,967.17,1335.33,1423.51,1424.0,41,991.8100000000001,973.9886666666666,,-24.33000000000004,11.489501004540212,14.625909634743369,
1994-11-29,930.67,1237.67,1346.41,1346.0,42,982.5014285714286,972.8943333333333,,-36.5,25.519419029810248,16.540616192360844,
1994-11-30,932.33,1256.0,1357.9,1358.0,43,972.4528571428572,971.811,,1.6600000000000819,29.751831716319238,18.079699865909856,
1994-12-01,940.83,1260.33,1366.18,1366.0,44,964.4042857142857,970.6443333333333,,8.5,29.570932719560062,18.921095266711063,
1994-12-02,943.83,1260.67,1366.48,1366.0,45,956.88,969.6886666666667,,3.0,26.594180441091183,19.538109133325804,
1994-12-05,942.5,1259.0,1363.64,1364.0,46,949.8328571428572,969.022,,-1.330000000000041,21.913272016660848,20.124274996578965,
1994-12-06,947.83,1269.33,1373.38,1373.0,47,943.5942857142857,968.5386666666667,,5.330000000000041,12.086984538671121,20.461837099128385,
1994-12-07,954.33,1273.67,1382.41,1382.0,48,941.7600000000001,967.922,,6.5,8.291161961187733,20.60630877618097,
1994-12-08,949.83,1274.33,1379.29,1379.0,49,944.4971428571429,966.894,,-4.5,7.0963998249936635,20.717379277744897,
1994-12-09,950.17,1267.67,1374.68,1375.0,50,947.0457142857143,965.9053333333334,,0.33999999999991815,4.844735483464678,20.786362029869117,
1994-12-12,932.83,1243.67,1350.61,1351.0,51,945.9028571428572,964.4606666666666,,-17.339999999999918,7.013526726464851,21.54075126492746,
1994-12-13,929.83,1245.0,1348.58,1349.0,52,943.9028571428572,963.2773333333333,,-3.0,9.320026313062083,22.447359100230816,
1994-12-14,940.17,1278.33,1373.04,1373.0,53,943.57,962.522,,10.339999999999918,9.41955412957424,22.840728051685158,
1994-12-15,972.17,1314.67,1416.3,1416.0,54,947.0471428571428,962.7,,32.0,14.419585886662516,22.89619860030984,
1994-12-16,967.83,1302.67,1407.65,1408.0,55,948.9757142857143,962.7333333333333,,-4.339999999999918,16.33196340221864,22.903145444771784,
1994-12-19,975.5,1316.67,1419.81,1420.0,56,952.6428571428571,963.5443333333333,,7.669999999999959,19.187976021704465,22.910330102429807,
1994-12-20,987.0,1338.0,1438.74,1439.0,57,957.9042857142857,964.672,,11.5,23.056417658389137,23.212664557565798,
1994-12-21,990.33,1346.67,1446.04,1446.0,58,966.1185714285714,965.744,,3.330000000000041,22.876392801729754,23.64069221228229,
1994-12-22,994.0,1338.0,1436.07,1436.0,59,975.2857142857143,966.9883333333333,,3.669999999999959,18.313174544702747,24.124104855050547,
1994-12-23,990.0,1343.0,1436.67,1437.0,60,982.4042857142857,967.8883333333334,,-4.0,10.335316245995989,24.471327780350116,
