Date,London futures (£ sterling/tonne),New York futures (US$/tonne),ICCO daily price (US$/tonne),ICCO daily price (Euro/tonne),MA_7,MA_30,MA_90,Price_Diff,Volatility_7,Volatility_30,Volatility_90
2024-03-27,7652.33,9266.0,9471.0,8750.73,9434.050000000001,9457.161666666665,8290.387444444445,5.6599999999998545,208.96013431588955,969.8372073564698,1237.5544490916075
2024-03-26,7615.67,9094.67,9361.39,8645.71,9418.475714285714,9489.917666666668,8319.614555555556,-109.61000000000058,209.85929562896698,948.517311261814,1231.3574835591892
2024-03-25,7545.33,9025.0,9285.87,8568.53,9433.994285714287,9522.171,8343.713222222223,-75.51999999999862,192.3319036506579,923.4219805975475,1228.777359371089
2024-03-22,6837.0,8254.33,8437.72,7807.43,9333.525714285714,9545.276333333333,8357.404555555557,-848.1500000000015,419.9223402351361,885.2946886050468,1222.8029382824834
2024-03-21,6521.33,7915.0,8091.21,7449.98,9118.554285714285,9555.377333333334,8370.056555555557,-346.5099999999993,606.7632650618817,866.0754597128298,1213.9626160313642
2024-03-20,6327.67,7770.67,7913.37,7286.23,8860.842857142858,9579.263333333332,8378.657888888889,-177.84000000000015,687.7471133033778,806.6245547932508,1207.8711196805798
2024-03-19,6088.33,7413.0,7584.46,6981.88,8592.145714285714,9563.170333333333,8385.456555555555,-328.90999999999985,774.20129503157,841.8767720150696,1201.573502104601
2024-03-18,6196.0,7615.67,7755.0,7131.88,8347.002857142857,9526.321,8389.709111111111,170.53999999999996,719.2691684321896,896.1393927761352,1198.621030235495
2024-03-15,5838.67,7260.33,7350.42,6752.1,8059.721428571429,9482.75,8388.147555555555,-404.5799999999999,644.2787441635382,968.6773363609362,1199.8959399060193
2024-03-14,5520.0,6760.0,6902.17,6339.99,7719.192857142857,9370.095333333333,8381.327555555556,-448.25,502.5497713233381,1064.3421428208019,1206.6343907832756
2024-03-13,5264.0,6490.0,6616.59,6043.26,7459.0314285714285,9241.512333333334,8377.500888888888,-285.5799999999999,538.6714612646115,1155.4802487507077,1211.7247674987873
2024-03-12,5295.0,6496.33,6634.58,6076.95,7250.941428571429,9106.308333333332,8370.107555555556,17.98999999999978,535.0953083775083,1215.7933581399168,1220.37223837768
2024-03-11,5099.33,6291.67,6413.87,5869.65,7036.727142857142,8983.062333333333,8363.706777777777,-220.71000000000004,525.7731730735348,1295.2177334084631,1229.1714721822102
2024-03-08,4867.0,6036.67,6148.3,5618.63,6831.561428571428,8833.354,8352.981333333333,-265.5699999999997,555.7675308804554,1355.3168464736145,1244.320333783816
